,values
21.303202905,0.0
21.31986957166667,0.0
21.336536238333334,0.0
21.353202905,0.0
21.369869571666666,0.0
21.386536238333335,0.0
21.400597205,10.114461584935658
21.500597205000002,10.0
21.600597205,0.0
21.700597205,0.0
21.800597205,0.0
21.900597205,0.0
22.000597205000002,3.5832306516014003
22.100597205,3.6595293524566905
22.200597205,0.0
22.300597205,0.0
22.400597205,0.0
22.500597205000002,0.0
22.600597205,0.0
22.700597205,0.0
22.800597205,0.0
22.900597205,11.202704296056814
23.000597205000002,10.827080890709803
23.100597205,0.0
23.200597205,5.271196358559843
23.300597205,0.0
23.400597205,0.0
23.500597205000002,0.0
23.600597205,0.0
23.700597205,0.0
23.800597205,0.0
23.900597205,0.0
24.000597205000002,0.0
24.100597205,0.0
24.200597205,0.0
24.300597205,0.0
24.400597205,0.0
24.501575074,0.0
24.534908407333333,0.0
24.568241740666668,0.0
24.601575074,0.0
24.634908407333334,0.0
24.668241740666666,0.0
24.701575074,0.0
24.734908407333332,0.0
24.768241740666667,0.0
24.801575074000002,0.0
24.834908407333334,0.0
24.86824174066667,0.0
24.901575074,0.0
24.934908407333335,4.991995060429293
24.968241740666667,11.981391678646279
25.001575074,13.175846888476196
25.034908407333333,10.427023025163322
25.068241740666668,0.0
25.101575074,0.0
25.134908407333334,6.739880869854209
25.168241740666666,7.18485099415894
25.201575074,3.9690476290594217
25.234908407333332,0.0
25.268241740666667,0.0
25.301575074000002,0.0
25.334908407333334,0.0
25.36824174066667,3.7962302959237375
25.401575074,4.40495154727516
25.434908407333335,0.0
25.468241740666667,0.0
25.500608136983335,4.938904699132432
25.83394147031667,0.0
26.167274803650002,0.0
26.500608136983335,0.0
26.83394147031667,0.0
27.167274803650002,0.0
27.500608136983335,0.0
27.83394147031667,0.0
28.001757516,0.0
28.035090849333336,0.0
28.068424182666668,0.0
28.101757516000003,0.0
28.135090849333334,0.0
28.16842418266667,0.0
28.201757516,0.0
28.235090849333336,0.0
28.268424182666667,0.0
28.301757516000002,0.0
28.335090849333334,0.0
28.36842418266667,3.9123842623229472
28.401757516,8.182569665806522
28.435090849333335,7.972567011196599
28.46842418266667,0.0
28.501757516,0.0
28.535090849333336,0.0
28.568424182666668,0.0
28.601757516000003,0.0
28.635090849333334,0.0
28.66842418266667,0.0
28.701757516,0.0
28.735090849333336,0.0
28.768424182666667,4.292631857561749
28.801757516000002,4.026676724648559
28.835090849333334,0.0
28.86842418266667,0.0
28.901757516,0.0
28.935090849333335,0.0
28.96842418266667,0.0
29.001757516,0.0
29.035090849333336,0.0
29.068424182666668,0.0
29.101757516000003,0.0
29.135090849333334,0.0
29.16842418266667,0.0
29.201757516,0.0
29.235090849333336,0.0
29.268424182666667,0.0
29.301757516000002,0.0
29.335090849333334,0.0
29.36842418266667,0.0
29.401757516,0.0
29.435090849333335,0.0
29.46842418266667,0.0
29.501757516,0.0
29.535090849333336,0.0
29.568424182666668,0.0
29.605059699,0.0
29.705059699000003,0.0
29.805059699000005,0.0
29.905059699000002,0.0
30.005888792000004,0.0
30.02255545866667,0.0
30.039222125333335,0.0
30.055888792000005,0.0
30.07255545866667,0.0
30.089222125333336,0.0
30.105888792000005,0.0
30.12255545866667,0.0
30.139222125333337,0.0
30.155888792000002,0.0
30.17255545866667,4.932583344211641
30.189222125333337,6.63429419991604
30.205888792000003,6.620292675749481
30.22255545866667,5.116975446729536
30.239222125333338,0.0
30.255888792000004,0.0
30.27255545866667,0.0
30.289222125333335,0.0
30.305888792000005,0.0
30.32255545866667,0.0
30.339222125333336,0.0
30.355888792000005,0.0
30.37255545866667,0.0
30.389222125333337,0.0
30.405888792000002,0.0
30.42255545866667,0.0
30.439222125333337,0.0
30.455888792000003,0.0
30.47255545866667,0.0
30.489222125333338,0.0
30.505888792000004,0.0
30.52255545866667,0.0
30.539222125333335,3.9134339942361485
30.555888792000005,7.115249410948629
30.57255545866667,8.471644416226482
30.589222125333336,8.461126164203646
30.605888792000005,6.872845760605058
30.62255545866667,4.435745705675987
30.639222125333337,0.0
30.655888792000002,0.0
30.67255545866667,0.0
30.689222125333337,4.868341649820108
30.705888792000003,6.038600488177292
30.72255545866667,6.4413589948320675
30.739222125333338,5.9776197169533125
30.755888792000004,3.8314240894310942
30.77255545866667,0.0
30.789222125333335,0.0
30.805888792000005,0.0
30.82255545866667,0.0
30.839222125333336,0.0
30.855888792000005,0.0
30.87255545866667,0.0
30.889222125333337,0.0
30.905888792000002,0.0
30.92255545866667,0.0
30.939222125333337,4.61521624487157
30.955888792000003,5.619261457480195
30.97255545866667,5.521972575019929
30.989222125333338,3.9984751870831405
31.005888792000004,0.0
31.02255545866667,0.0
31.039222125333335,0.0
31.055888792000005,0.0
31.07255545866667,0.0
31.089222125333336,0.0
31.105888792000005,0.0
31.12255545866667,0.0
31.139222125333337,0.0
31.155888792000002,0.0
31.17255545866667,0.0
